algorithm,data_type,size,run_number,time_ms,sorted_correctly
Merge sort,Partially sorted data,10000,1,4.548,yes
Merge sort,Partially sorted data,10000,2,4.530,yes
Merge sort,Partially sorted data,10000,3,5.046,yes
Merge sort,Partially sorted data,10000,4,5.647,yes
Merge sort,Partially sorted data,10000,5,5.406,yes
Merge sort,Partially sorted data,10000,6,5.623,yes
Merge sort,Partially sorted data,10000,7,5.433,yes
Merge sort,Partially sorted data,10000,8,5.030,yes
Merge sort,Partially sorted data,10000,9,5.718,yes
Merge sort,Partially sorted data,10000,10,6.264,yes
Merge sort,Partially sorted data,50000,1,31.569,yes
Merge sort,Partially sorted data,50000,2,28.271,yes
Merge sort,Partially sorted data,50000,3,25.789,yes
Merge sort,Partially sorted data,50000,4,26.489,yes
Merge sort,Partially sorted data,50000,5,30.780,yes
Merge sort,Partially sorted data,50000,6,30.558,yes
Merge sort,Partially sorted data,50000,7,26.193,yes
Merge sort,Partially sorted data,50000,8,29.239,yes
Merge sort,Partially sorted data,50000,9,26.591,yes
Merge sort,Partially sorted data,50000,10,31.856,yes
Merge sort,Partially sorted data,100000,1,64.989,yes
Merge sort,Partially sorted data,100000,2,64.126,yes
Merge sort,Partially sorted data,100000,3,75.564,yes
Merge sort,Partially sorted data,100000,4,56.709,yes
Merge sort,Partially sorted data,100000,5,62.000,yes
Merge sort,Partially sorted data,100000,6,59.971,yes
Merge sort,Partially sorted data,100000,7,63.313,yes
Merge sort,Partially sorted data,100000,8,61.290,yes
Merge sort,Partially sorted data,100000,9,61.666,yes
Merge sort,Partially sorted data,100000,10,60.849,yes
Merge sort,Partially sorted data,500000,1,358.705,yes
Merge sort,Partially sorted data,500000,2,359.374,yes
Merge sort,Partially sorted data,500000,3,371.485,yes
Merge sort,Partially sorted data,500000,4,357.983,yes
Merge sort,Partially sorted data,500000,5,319.496,yes
Merge sort,Partially sorted data,500000,6,441.833,yes
Merge sort,Partially sorted data,500000,7,406.088,yes
Merge sort,Partially sorted data,500000,8,389.918,yes
Merge sort,Partially sorted data,500000,9,388.690,yes
Merge sort,Partially sorted data,500000,10,376.257,yes
Merge sort,Partially sorted data,1000000,1,847.499,yes
Merge sort,Partially sorted data,1000000,2,815.289,yes
Merge sort,Partially sorted data,1000000,3,769.934,yes
Merge sort,Partially sorted data,1000000,4,753.458,yes
Merge sort,Partially sorted data,1000000,5,736.265,yes
Merge sort,Partially sorted data,1000000,6,743.373,yes
Merge sort,Partially sorted data,1000000,7,745.456,yes
Merge sort,Partially sorted data,1000000,8,727.110,yes
Merge sort,Partially sorted data,1000000,9,750.590,yes
Merge sort,Partially sorted data,1000000,10,793.489,yes
Quicksort,Partially sorted data,10000,1,3.121,yes
Quicksort,Partially sorted data,10000,2,3.074,yes
Quicksort,Partially sorted data,10000,3,3.001,yes
Quicksort,Partially sorted data,10000,4,2.921,yes
Quicksort,Partially sorted data,10000,5,3.354,yes
Quicksort,Partially sorted data,10000,6,3.679,yes
Quicksort,Partially sorted data,10000,7,3.663,yes
Quicksort,Partially sorted data,10000,8,3.497,yes
Quicksort,Partially sorted data,10000,9,3.788,yes
Quicksort,Partially sorted data,10000,10,3.274,yes
Quicksort,Partially sorted data,50000,1,15.842,yes
Quicksort,Partially sorted data,50000,2,17.041,yes
Quicksort,Partially sorted data,50000,3,15.392,yes
Quicksort,Partially sorted data,50000,4,17.101,yes
Quicksort,Partially sorted data,50000,5,15.982,yes
Quicksort,Partially sorted data,50000,6,16.050,yes
