row_type;algorithm;size;case_name;run_number;time_ms;sorted_correctly
average;merge_sort;10000;random;-1;1.126487;1
average;quicksort;10000;random;-1;0.810075;1
average;introsort;10000;random;-1;0.828122;1
average;merge_sort;10000;prefix_25%;-1;0.566136;1
average;quicksort;10000;prefix_25%;-1;0.411142;1
average;introsort;10000;prefix_25%;-1;0.415511;1
average;merge_sort;10000;prefix_50%;-1;0.573039;1
average;quicksort;10000;prefix_50%;-1;0.396648;1
average;introsort;10000;prefix_50%;-1;0.391390;1
average;merge_sort;10000;prefix_75%;-1;0.415596;1
average;quicksort;10000;prefix_75%;-1;0.262326;1
average;introsort;10000;prefix_75%;-1;0.250727;1
average;merge_sort;10000;prefix_95%;-1;0.223218;1
average;quicksort;10000;prefix_95%;-1;0.115698;1
average;introsort;10000;prefix_95%;-1;0.107997;1
average;merge_sort;10000;prefix_99%;-1;0.198041;1
average;quicksort;10000;prefix_99%;-1;0.096890;1
average;introsort;10000;prefix_99%;-1;0.089659;1
average;merge_sort;10000;prefix_99.7%;-1;0.189254;1
average;quicksort;10000;prefix_99.7%;-1;0.091705;1
average;introsort;10000;prefix_99.7%;-1;0.084195;1
average;merge_sort;10000;reversed;-1;0.180436;1
average;quicksort;10000;reversed;-1;0.212660;1
average;introsort;10000;reversed;-1;0.211437;1
average;merge_sort;50000;random;-1;4.817700;1
average;quicksort;50000;random;-1;3.581139;1
average;introsort;50000;random;-1;3.677337;1
average;merge_sort;50000;prefix_25%;-1;3.413050;1
average;quicksort;50000;prefix_25%;-1;2.440208;1
average;introsort;50000;prefix_25%;-1;2.423578;1
average;merge_sort;50000;prefix_50%;-1;2.954938;1
average;quicksort;50000;prefix_50%;-1;1.993542;1
average;introsort;50000;prefix_50%;-1;1.996189;1
average;merge_sort;50000;prefix_75%;-1;1.953808;1
average;quicksort;50000;prefix_75%;-1;1.212122;1
average;introsort;50000;prefix_75%;-1;1.186165;1
average;merge_sort;50000;prefix_95%;-1;1.045623;1
average;quicksort;50000;prefix_95%;-1;0.499706;1
average;introsort;50000;prefix_95%;-1;0.486370;1
average;merge_sort;50000;prefix_99%;-1;0.987348;1
average;quicksort;50000;prefix_99%;-1;0.438632;1
average;introsort;50000;prefix_99%;-1;0.409765;1
average;merge_sort;50000;prefix_99.7%;-1;0.919749;1
average;quicksort;50000;prefix_99.7%;-1;0.398221;1
average;introsort;50000;prefix_99.7%;-1;0.381838;1
average;merge_sort;50000;reversed;-1;1.148325;1
average;quicksort;50000;reversed;-1;1.249707;1
average;introsort;50000;reversed;-1;1.228414;1
average;merge_sort;100000;random;-1;9.164243;1
average;quicksort;100000;random;-1;7.161367;1
average;introsort;100000;random;-1;7.156097;1
average;merge_sort;100000;prefix_25%;-1;7.145458;1
average;quicksort;100000;prefix_25%;-1;5.289601;1
average;introsort;100000;prefix_25%;-1;5.186103;1
average;merge_sort;100000;prefix_50%;-1;5.455805;1
average;quicksort;100000;prefix_50%;-1;3.824792;1
average;introsort;100000;prefix_50%;-1;3.738237;1
average;merge_sort;100000;prefix_75%;-1;3.420060;1
average;quicksort;100000;prefix_75%;-1;2.169830;1
average;introsort;100000;prefix_75%;-1;2.172715;1
average;merge_sort;100000;prefix_95%;-1;2.189789;1
average;quicksort;100000;prefix_95%;-1;1.132591;1
average;introsort;100000;prefix_95%;-1;1.090550;1
average;merge_sort;100000;prefix_99%;-1;2.035320;1
average;quicksort;100000;prefix_99%;-1;0.962126;1
average;introsort;100000;prefix_99%;-1;0.924396;1
average;merge_sort;100000;prefix_99.7%;-1;2.000832;1
average;quicksort;100000;prefix_99.7%;-1;0.921015;1
average;introsort;100000;prefix_99.7%;-1;0.979291;1
average;merge_sort;100000;reversed;-1;2.105274;1
average;quicksort;100000;reversed;-1;2.424105;1
average;introsort;100000;reversed;-1;2.455224;1
average;merge_sort;500000;random;-1;54.257359;1
average;quicksort;500000;random;-1;40.282901;1
average;introsort;500000;random;-1;39.603302;1
average;merge_sort;500000;prefix_25%;-1;43.750057;1
average;quicksort;500000;prefix_25%;-1;30.703126;1
average;introsort;500000;prefix_25%;-1;31.426576;1
average;merge_sort;500000;prefix_50%;-1;31.877589;1
average;quicksort;500000;prefix_50%;-1;22.066829;1
average;introsort;500000;prefix_50%;-1;21.706206;1
average;merge_sort;500000;prefix_75%;-1;20.769290;1
average;quicksort;500000;prefix_75%;-1;12.802639;1
average;introsort;500000;prefix_75%;-1;12.697144;1
average;merge_sort;500000;prefix_95%;-1;12.688534;1
average;quicksort;500000;prefix_95%;-1;6.292966;1
average;introsort;500000;prefix_95%;-1;6.216544;1
average;merge_sort;500000;prefix_99%;-1;11.302524;1
average;quicksort;500000;prefix_99%;-1;5.118058;1
average;introsort;500000;prefix_99%;-1;5.010544;1
average;merge_sort;500000;prefix_99.7%;-1;11.008491;1
average;quicksort;500000;prefix_99.7%;-1;5.239878;1
average;introsort;500000;prefix_99.7%;-1;4.949995;1
average;merge_sort;500000;reversed;-1;12.170481;1
average;quicksort;500000;reversed;-1;14.698529;1
average;introsort;500000;reversed;-1;15.425658;1
average;merge_sort;1000000;random;-1;115.010244;1
average;quicksort;1000000;random;-1;85.614212;1
average;introsort;1000000;random;-1;83.948151;1
average;merge_sort;1000000;prefix_25%;-1;88.725161;1
average;quicksort;1000000;prefix_25%;-1;64.338702;1
average;introsort;1000000;prefix_25%;-1;64.146256;1
average;merge_sort;1000000;prefix_50%;-1;66.779359;1
average;quicksort;1000000;prefix_50%;-1;46.512020;1
average;introsort;1000000;prefix_50%;-1;45.119542;1
average;merge_sort;1000000;prefix_75%;-1;42.161521;1
average;quicksort;1000000;prefix_75%;-1;27.503996;1
average;introsort;1000000;prefix_75%;-1;26.565967;1
average;merge_sort;1000000;prefix_95%;-1;26.388898;1
average;quicksort;1000000;prefix_95%;-1;13.694443;1
average;introsort;1000000;prefix_95%;-1;13.248697;1
average;merge_sort;1000000;prefix_99%;-1;23.334417;1
average;quicksort;1000000;prefix_99%;-1;11.384332;1
average;introsort;1000000;prefix_99%;-1;10.839838;1
average;merge_sort;1000000;prefix_99.7%;-1;22.939400;1
average;quicksort;1000000;prefix_99.7%;-1;10.833278;1
average;introsort;1000000;prefix_99.7%;-1;10.144748;1
average;merge_sort;1000000;reversed;-1;23.819731;1
average;quicksort;1000000;reversed;-1;30.778136;1
average;introsort;1000000;reversed;-1;32.604663;1
