row_type;algorithm;size;case_name;run_number;time_ms;sorted_correctly
average;merge_sort;10000;random;-1;1.126487;1
average;quicksort;10000;random;-1;0.810075;1
average;introsort;10000;random;-1;0.828122;1
average;merge_sort;50000;random;-1;4.817700;1
average;quicksort;50000;random;-1;3.581139;1
average;introsort;50000;random;-1;3.677337;1
average;merge_sort;100000;random;-1;9.164243;1
average;quicksort;100000;random;-1;7.161367;1
average;introsort;100000;random;-1;7.156097;1
average;merge_sort;500000;random;-1;54.257359;1
average;quicksort;500000;random;-1;40.282901;1
average;introsort;500000;random;-1;39.603302;1
average;merge_sort;1000000;random;-1;115.010244;1
average;quicksort;1000000;random;-1;85.614212;1
average;introsort;1000000;random;-1;83.948151;1
