row_type;algorithm;size;case_name;run_number;time_ms;sorted_correctly
trial;introsort;10000;random;0;1.008000;1
trial;introsort;10000;random;1;0.895200;1
trial;introsort;10000;random;2;1.369200;1
trial;introsort;10000;random;3;0.889800;1
trial;introsort;10000;random;4;1.166200;1
trial;introsort;10000;random;5;1.559500;1
trial;introsort;10000;random;6;0.963000;1
trial;introsort;10000;random;7;1.295700;1
trial;introsort;10000;random;8;2.284800;1
trial;introsort;10000;random;9;3.391000;1
trial;introsort;10000;random;10;1.396800;1
trial;introsort;10000;random;11;0.656000;1
trial;introsort;10000;random;12;0.515900;1
trial;introsort;10000;random;13;0.523100;1
trial;introsort;10000;random;14;0.541500;1
trial;introsort;10000;random;15;0.533300;1
trial;introsort;10000;random;16;0.512200;1
trial;introsort;10000;random;17;0.502600;1
trial;introsort;10000;random;18;0.536700;1
trial;introsort;10000;random;19;0.527200;1
trial;introsort;10000;random;20;0.510400;1
trial;introsort;10000;random;21;0.525400;1
trial;introsort;10000;random;22;0.675700;1
trial;introsort;10000;random;23;0.784700;1
trial;introsort;10000;random;24;0.621700;1
trial;introsort;10000;random;25;0.548300;1
trial;introsort;10000;random;26;1.425000;1
trial;introsort;10000;random;27;1.174600;1
trial;introsort;10000;random;28;1.508900;1
trial;introsort;10000;random;29;1.442800;1
trial;introsort;10000;random;30;1.442800;1
trial;introsort;10000;random;31;0.840200;1
trial;introsort;10000;random;32;1.402200;1
trial;introsort;10000;random;33;1.184600;1
trial;introsort;10000;random;34;0.942200;1
trial;introsort;10000;random;35;1.368500;1
trial;introsort;10000;random;36;1.725900;1
trial;introsort;10000;random;37;1.036900;1
trial;introsort;10000;random;38;0.767900;1
trial;introsort;10000;random;39;1.401700;1
trial;introsort;10000;random;40;1.410700;1
trial;introsort;10000;random;41;1.482200;1
trial;introsort;10000;random;42;1.403800;1
trial;introsort;10000;random;43;0.733100;1
trial;introsort;10000;random;44;1.369400;1
trial;introsort;10000;random;45;0.982100;1
trial;introsort;10000;random;46;1.272600;1
trial;introsort;10000;random;47;0.928200;1
trial;introsort;10000;random;48;0.603200;1
trial;introsort;10000;random;49;0.562900;1
trial;introsort;10000;random;50;0.563000;1
trial;introsort;10000;random;51;0.551700;1
trial;introsort;10000;random;52;0.618400;1
trial;introsort;10000;random;53;1.303100;1
trial;introsort;10000;random;54;0.880000;1
trial;introsort;10000;random;55;0.523100;1
trial;introsort;10000;random;56;0.511900;1
trial;introsort;10000;random;57;0.612200;1
trial;introsort;10000;random;58;0.681300;1
trial;introsort;10000;random;59;0.570200;1
trial;introsort;10000;random;60;0.588300;1
trial;introsort;10000;random;61;0.666300;1
