row_type;algorithm;size;case_name;run_number;time_ms;sorted_correctly
trial;merge_sort;10000;random;0;1.278400;1
trial;merge_sort;10000;random;1;1.498800;1
trial;merge_sort;10000;random;2;1.272700;1
trial;merge_sort;10000;random;3;1.266100;1
trial;merge_sort;10000;random;4;1.336800;1
trial;merge_sort;10000;random;5;1.740700;1
trial;merge_sort;10000;random;6;1.982500;1
trial;merge_sort;10000;random;7;1.488900;1
trial;merge_sort;10000;random;8;1.868000;1
trial;merge_sort;10000;random;9;3.034200;1
trial;merge_sort;10000;random;10;2.352300;1
trial;merge_sort;10000;random;11;2.016400;1
trial;merge_sort;10000;random;12;0.762500;1
trial;merge_sort;10000;random;13;0.711600;1
trial;merge_sort;10000;random;14;0.706100;1
trial;merge_sort;10000;random;15;1.450700;1
trial;merge_sort;10000;random;16;0.688200;1
trial;merge_sort;10000;random;17;0.688900;1
trial;merge_sort;10000;random;18;0.684900;1
trial;merge_sort;10000;random;19;0.722500;1
trial;merge_sort;10000;random;20;0.709300;1
trial;merge_sort;10000;random;21;0.679500;1
trial;merge_sort;10000;random;22;0.761300;1
trial;merge_sort;10000;random;23;0.938800;1
trial;merge_sort;10000;random;24;0.912200;1
trial;merge_sort;10000;random;25;0.811100;1
trial;merge_sort;10000;random;26;1.124800;1
trial;merge_sort;10000;random;27;1.029800;1
trial;merge_sort;10000;random;28;1.500900;1
trial;merge_sort;10000;random;29;2.444500;1
trial;merge_sort;10000;random;30;1.859600;1
trial;merge_sort;10000;random;31;1.776900;1
trial;merge_sort;10000;random;32;1.068200;1
trial;merge_sort;10000;random;33;1.843500;1
trial;merge_sort;10000;random;34;1.826800;1
trial;merge_sort;10000;random;35;1.815300;1
trial;merge_sort;10000;random;36;1.824700;1
trial;merge_sort;10000;random;37;2.249700;1
trial;merge_sort;10000;random;38;1.152600;1
trial;merge_sort;10000;random;39;1.549800;1
trial;merge_sort;10000;random;40;2.522200;1
trial;merge_sort;10000;random;41;1.971700;1
trial;merge_sort;10000;random;42;1.876100;1
trial;merge_sort;10000;random;43;2.340200;1
trial;merge_sort;10000;random;44;1.654400;1
trial;merge_sort;10000;random;45;0.797100;1
trial;merge_sort;10000;random;46;1.856800;1
trial;merge_sort;10000;random;47;0.718100;1
trial;merge_sort;10000;random;48;1.123900;1
trial;merge_sort;10000;random;49;1.207500;1
trial;merge_sort;10000;random;50;1.601500;1
trial;merge_sort;10000;random;51;0.716000;1
trial;merge_sort;10000;random;52;0.732500;1
trial;merge_sort;10000;random;53;0.809000;1
trial;merge_sort;10000;random;54;1.759300;1
trial;merge_sort;10000;random;55;0.816900;1
trial;merge_sort;10000;random;56;0.689600;1
trial;merge_sort;10000;random;57;0.681400;1
trial;merge_sort;10000;random;58;0.700300;1
trial;merge_sort;10000;random;59;1.017600;1
trial;merge_sort;10000;random;60;1.099100;1
trial;merge_sort;10000;random;61;0.934500;1
trial;merge_sort;10000;random;62;0.819500;1
trial;merge_sort;10000;random;63;0.732300;1
trial;merge_sort;10000;random;64;1.213800;1
trial;merge_sort;10000;random;65;0.985600;1
trial;merge_sort;10000;random;66;0.678600;1
trial;merge_sort;10000;random;67;0.684100;1
trial;merge_sort;10000;random;68;0.681700;1
trial;merge_sort;10000;random;69;0.713200;1
trial;merge_sort;10000;random;70;0.719900;1
trial;merge_sort;10000;random;71;0.677200;1
trial;merge_sort;10000;random;72;0.699800;1
trial;merge_sort;10000;random;73;0.684300;1
trial;merge_sort;10000;random;74;0.686100;1
trial;merge_sort;10000;random;75;0.697600;1
trial;merge_sort;10000;random;76;0.696100;1
trial;merge_sort;10000;random;77;0.686400;1
trial;merge_sort;10000;random;78;0.716700;1
trial;merge_sort;10000;random;79;0.686900;1
trial;merge_sort;10000;random;80;0.682800;1
trial;merge_sort;10000;random;81;0.685200;1
trial;merge_sort;10000;random;82;0.703100;1
trial;merge_sort;10000;random;83;0.699800;1
trial;merge_sort;10000;random;84;0.690700;1
trial;merge_sort;10000;random;85;0.701700;1
trial;merge_sort;10000;random;86;0.705200;1
trial;merge_sort;10000;random;87;1.338900;1
trial;merge_sort;10000;random;88;0.686300;1
trial;merge_sort;10000;random;89;0.770700;1
trial;merge_sort;10000;random;90;0.942500;1
trial;merge_sort;10000;random;91;1.122800;1
trial;merge_sort;10000;random;92;1.063800;1
trial;merge_sort;10000;random;93;1.036800;1
trial;merge_sort;10000;random;94;0.798600;1
trial;merge_sort;10000;random;95;0.700100;1
trial;merge_sort;10000;random;96;0.698000;1
trial;merge_sort;10000;random;97;0.690400;1
trial;merge_sort;10000;random;98;0.704800;1
trial;merge_sort;10000;random;99;0.710500;1
average;merge_sort;10000;random;-1;1.126487;1
trial;merge_sort;10000;prefix_25%;0;0.561700;1
trial;merge_sort;10000;prefix_25%;1;0.547500;1
trial;merge_sort;10000;prefix_25%;2;0.642800;1
trial;merge_sort;10000;prefix_25%;3;0.553100;1
trial;merge_sort;10000;prefix_25%;4;0.529500;1
trial;merge_sort;10000;prefix_25%;5;0.540400;1
trial;merge_sort;10000;prefix_25%;6;0.558300;1
trial;merge_sort;10000;prefix_25%;7;0.535000;1
trial;merge_sort;10000;prefix_25%;8;0.535900;1
trial;merge_sort;10000;prefix_25%;9;0.550700;1
trial;merge_sort;10000;prefix_25%;10;0.546300;1
trial;merge_sort;10000;prefix_25%;11;0.577100;1
trial;merge_sort;10000;prefix_25%;12;0.541300;1
trial;merge_sort;10000;prefix_25%;13;0.688900;1
trial;merge_sort;10000;prefix_25%;14;0.551900;1
trial;merge_sort;10000;prefix_25%;15;0.667900;1
trial;merge_sort;10000;prefix_25%;16;0.721000;1
trial;merge_sort;10000;prefix_25%;17;0.648900;1
trial;merge_sort;10000;prefix_25%;18;0.771000;1
trial;merge_sort;10000;prefix_25%;19;0.674900;1
trial;merge_sort;10000;prefix_25%;20;0.559700;1
trial;merge_sort;10000;prefix_25%;21;0.531700;1
trial;merge_sort;10000;prefix_25%;22;0.723000;1
trial;merge_sort;10000;prefix_25%;23;0.571700;1
trial;merge_sort;10000;prefix_25%;24;0.571600;1
trial;merge_sort;10000;prefix_25%;25;0.549800;1
trial;merge_sort;10000;prefix_25%;26;0.540600;1
trial;merge_sort;10000;prefix_25%;27;0.545900;1
trial;merge_sort;10000;prefix_25%;28;0.545400;1
trial;merge_sort;10000;prefix_25%;29;0.561400;1
trial;merge_sort;10000;prefix_25%;30;0.558700;1
trial;merge_sort;10000;prefix_25%;31;0.540600;1
trial;merge_sort;10000;prefix_25%;32;0.539000;1
trial;merge_sort;10000;prefix_25%;33;0.563900;1
trial;merge_sort;10000;prefix_25%;34;0.540400;1
trial;merge_sort;10000;prefix_25%;35;0.538500;1
trial;merge_sort;10000;prefix_25%;36;0.544700;1
trial;merge_sort;10000;prefix_25%;37;0.541700;1
trial;merge_sort;10000;prefix_25%;38;0.546800;1
trial;merge_sort;10000;prefix_25%;39;0.594000;1
trial;merge_sort;10000;prefix_25%;40;0.532800;1
trial;merge_sort;10000;prefix_25%;41;0.555500;1
trial;merge_sort;10000;prefix_25%;42;0.534400;1
trial;merge_sort;10000;prefix_25%;43;0.540900;1
trial;merge_sort;10000;prefix_25%;44;0.642200;1
trial;merge_sort;10000;prefix_25%;45;0.553300;1
trial;merge_sort;10000;prefix_25%;46;0.546000;1
trial;merge_sort;10000;prefix_25%;47;0.540900;1
trial;merge_sort;10000;prefix_25%;48;0.540200;1
trial;merge_sort;10000;prefix_25%;49;0.553200;1
trial;merge_sort;10000;prefix_25%;50;0.544000;1
trial;merge_sort;10000;prefix_25%;51;0.542000;1
trial;merge_sort;10000;prefix_25%;52;0.543600;1
trial;merge_sort;10000;prefix_25%;53;0.543600;1
trial;merge_sort;10000;prefix_25%;54;0.538200;1
trial;merge_sort;10000;prefix_25%;55;0.550100;1
trial;merge_sort;10000;prefix_25%;56;0.874800;1
trial;merge_sort;10000;prefix_25%;57;0.628900;1
trial;merge_sort;10000;prefix_25%;58;0.557900;1
trial;merge_sort;10000;prefix_25%;59;0.536800;1
trial;merge_sort;10000;prefix_25%;60;0.559500;1
trial;merge_sort;10000;prefix_25%;61;0.537300;1
trial;merge_sort;10000;prefix_25%;62;0.538300;1
trial;merge_sort;10000;prefix_25%;63;0.538900;1
trial;merge_sort;10000;prefix_25%;64;0.532400;1
trial;merge_sort;10000;prefix_25%;65;0.549200;1
trial;merge_sort;10000;prefix_25%;66;0.536400;1
trial;merge_sort;10000;prefix_25%;67;0.576500;1
trial;merge_sort;10000;prefix_25%;68;0.676100;1
trial;merge_sort;10000;prefix_25%;69;0.687100;1
trial;merge_sort;10000;prefix_25%;70;0.616000;1
trial;merge_sort;10000;prefix_25%;71;0.577700;1
trial;merge_sort;10000;prefix_25%;72;0.546600;1
trial;merge_sort;10000;prefix_25%;73;0.534900;1
trial;merge_sort;10000;prefix_25%;74;0.537300;1
trial;merge_sort;10000;prefix_25%;75;0.531900;1
trial;merge_sort;10000;prefix_25%;76;0.541200;1
trial;merge_sort;10000;prefix_25%;77;0.547300;1
trial;merge_sort;10000;prefix_25%;78;0.538300;1
trial;merge_sort;10000;prefix_25%;79;0.537200;1
trial;merge_sort;10000;prefix_25%;80;0.551100;1
trial;merge_sort;10000;prefix_25%;81;0.544000;1
trial;merge_sort;10000;prefix_25%;82;0.535900;1
trial;merge_sort;10000;prefix_25%;83;0.544600;1
trial;merge_sort;10000;prefix_25%;84;0.534300;1
trial;merge_sort;10000;prefix_25%;85;0.538500;1
trial;merge_sort;10000;prefix_25%;86;0.541600;1
trial;merge_sort;10000;prefix_25%;87;0.544000;1
trial;merge_sort;10000;prefix_25%;88;0.537300;1
trial;merge_sort;10000;prefix_25%;89;0.539300;1
trial;merge_sort;10000;prefix_25%;90;0.549300;1
trial;merge_sort;10000;prefix_25%;91;0.545400;1
trial;merge_sort;10000;prefix_25%;92;0.538700;1
trial;merge_sort;10000;prefix_25%;93;0.544600;1
trial;merge_sort;10000;prefix_25%;94;0.537700;1
trial;merge_sort;10000;prefix_25%;95;0.532800;1
trial;merge_sort;10000;prefix_25%;96;0.549300;1
trial;merge_sort;10000;prefix_25%;97;0.543700;1
trial;merge_sort;10000;prefix_25%;98;0.540000;1
trial;merge_sort;10000;prefix_25%;99;0.528900;1
average;merge_sort;10000;prefix_25%;-1;0.566136;1
trial;merge_sort;10000;prefix_50%;0;0.413000;1
trial;merge_sort;10000;prefix_50%;1;0.414200;1
trial;merge_sort;10000;prefix_50%;2;0.388600;1
trial;merge_sort;10000;prefix_50%;3;0.404200;1
trial;merge_sort;10000;prefix_50%;4;0.400500;1
trial;merge_sort;10000;prefix_50%;5;0.400700;1
trial;merge_sort;10000;prefix_50%;6;0.393800;1
trial;merge_sort;10000;prefix_50%;7;0.392500;1
trial;merge_sort;10000;prefix_50%;8;0.392300;1
trial;merge_sort;10000;prefix_50%;9;0.401900;1
trial;merge_sort;10000;prefix_50%;10;0.399400;1
trial;merge_sort;10000;prefix_50%;11;0.396700;1
trial;merge_sort;10000;prefix_50%;12;0.397600;1
trial;merge_sort;10000;prefix_50%;13;0.404000;1
trial;merge_sort;10000;prefix_50%;14;0.448100;1
trial;merge_sort;10000;prefix_50%;15;0.494400;1
trial;merge_sort;10000;prefix_50%;16;0.618800;1
trial;merge_sort;10000;prefix_50%;17;0.529000;1
trial;merge_sort;10000;prefix_50%;18;0.536500;1
trial;merge_sort;10000;prefix_50%;19;0.733700;1
trial;merge_sort;10000;prefix_50%;20;0.698500;1
trial;merge_sort;10000;prefix_50%;21;1.242600;1
trial;merge_sort;10000;prefix_50%;22;0.545000;1
trial;merge_sort;10000;prefix_50%;23;0.485500;1
trial;merge_sort;10000;prefix_50%;24;0.550300;1
trial;merge_sort;10000;prefix_50%;25;0.558300;1
trial;merge_sort;10000;prefix_50%;26;0.667400;1
trial;merge_sort;10000;prefix_50%;27;0.494500;1
