row_type;algorithm;size;case_name;run_number;time_ms;sorted_correctly
trial;quicksort;10000;random;0;0.870900;1
trial;quicksort;10000;random;1;1.159100;1
trial;quicksort;10000;random;2;1.165200;1
trial;quicksort;10000;random;3;0.865800;1
trial;quicksort;10000;random;4;0.887600;1
trial;quicksort;10000;random;5;1.078200;1
trial;quicksort;10000;random;6;1.240700;1
trial;quicksort;10000;random;7;1.246100;1
trial;quicksort;10000;random;8;1.530000;1
trial;quicksort;10000;random;9;1.669300;1
trial;quicksort;10000;random;10;1.439400;1
trial;quicksort;10000;random;11;1.430300;1
trial;quicksort;10000;random;12;0.691200;1
trial;quicksort;10000;random;13;0.533300;1
trial;quicksort;10000;random;14;0.524600;1
trial;quicksort;10000;random;15;0.587400;1
trial;quicksort;10000;random;16;0.518300;1
trial;quicksort;10000;random;17;0.506000;1
trial;quicksort;10000;random;18;0.610700;1
trial;quicksort;10000;random;19;0.528700;1
trial;quicksort;10000;random;20;0.539500;1
trial;quicksort;10000;random;21;0.519400;1
trial;quicksort;10000;random;22;0.598000;1
trial;quicksort;10000;random;23;1.039800;1
trial;quicksort;10000;random;24;0.629800;1
trial;quicksort;10000;random;25;0.599400;1
trial;quicksort;10000;random;26;1.077800;1
trial;quicksort;10000;random;27;1.067000;1
trial;quicksort;10000;random;28;1.245100;1
trial;quicksort;10000;random;29;1.430500;1
trial;quicksort;10000;random;30;1.384400;1
trial;quicksort;10000;random;31;1.036200;1
trial;quicksort;10000;random;32;1.234900;1
trial;quicksort;10000;random;33;0.975000;1
trial;quicksort;10000;random;34;1.090500;1
trial;quicksort;10000;random;35;1.378600;1
trial;quicksort;10000;random;36;1.423500;1
trial;quicksort;10000;random;37;1.430700;1
trial;quicksort;10000;random;38;0.806800;1
trial;quicksort;10000;random;39;1.369800;1
trial;quicksort;10000;random;40;1.934300;1
trial;quicksort;10000;random;41;1.346800;1
trial;quicksort;10000;random;42;1.425300;1
trial;quicksort;10000;random;43;0.704000;1
trial;quicksort;10000;random;44;1.371600;1
trial;quicksort;10000;random;45;0.575500;1
trial;quicksort;10000;random;46;1.366700;1
trial;quicksort;10000;random;47;0.714900;1
trial;quicksort;10000;random;48;0.548900;1
trial;quicksort;10000;random;49;0.988700;1
trial;quicksort;10000;random;50;0.547400;1
trial;quicksort;10000;random;51;0.546600;1
trial;quicksort;10000;random;52;0.668100;1
trial;quicksort;10000;random;53;1.013300;1
trial;quicksort;10000;random;54;1.199500;1
trial;quicksort;10000;random;55;0.504300;1
trial;quicksort;10000;random;56;0.513900;1
trial;quicksort;10000;random;57;0.517400;1
trial;quicksort;10000;random;58;0.500300;1
trial;quicksort;10000;random;59;0.537600;1
trial;quicksort;10000;random;60;1.023100;1
trial;quicksort;10000;random;61;0.676900;1
trial;quicksort;10000;random;62;0.509500;1
trial;quicksort;10000;random;63;0.980700;1
trial;quicksort;10000;random;64;0.711400;1
trial;quicksort;10000;random;65;0.518700;1
trial;quicksort;10000;random;66;0.490400;1
trial;quicksort;10000;random;67;0.510400;1
trial;quicksort;10000;random;68;0.505800;1
trial;quicksort;10000;random;69;0.536700;1
trial;quicksort;10000;random;70;0.513000;1
trial;quicksort;10000;random;71;0.508000;1
trial;quicksort;10000;random;72;0.509900;1
trial;quicksort;10000;random;73;0.514500;1
trial;quicksort;10000;random;74;0.501700;1
trial;quicksort;10000;random;75;0.511900;1
trial;quicksort;10000;random;76;0.507600;1
trial;quicksort;10000;random;77;0.509600;1
trial;quicksort;10000;random;78;0.523700;1
trial;quicksort;10000;random;79;0.504300;1
trial;quicksort;10000;random;80;0.521600;1
trial;quicksort;10000;random;81;0.533100;1
trial;quicksort;10000;random;82;0.518100;1
trial;quicksort;10000;random;83;0.500500;1
trial;quicksort;10000;random;84;0.527300;1
trial;quicksort;10000;random;85;0.544200;1
trial;quicksort;10000;random;86;0.503800;1
trial;quicksort;10000;random;87;1.032700;1
trial;quicksort;10000;random;88;0.504700;1
trial;quicksort;10000;random;89;0.609200;1
trial;quicksort;10000;random;90;0.715200;1
trial;quicksort;10000;random;91;0.874600;1
trial;quicksort;10000;random;92;0.739700;1
trial;quicksort;10000;random;93;0.702700;1
trial;quicksort;10000;random;94;0.561700;1
trial;quicksort;10000;random;95;0.513200;1
trial;quicksort;10000;random;96;0.501900;1
trial;quicksort;10000;random;97;0.508500;1
trial;quicksort;10000;random;98;0.534900;1
trial;quicksort;10000;random;99;0.507500;1
average;quicksort;10000;random;-1;0.810075;1
trial;quicksort;10000;prefix_25%;0;0.407100;1
trial;quicksort;10000;prefix_25%;1;0.605700;1
trial;quicksort;10000;prefix_25%;2;0.412800;1
trial;quicksort;10000;prefix_25%;3;0.403300;1
trial;quicksort;10000;prefix_25%;4;0.381500;1
trial;quicksort;10000;prefix_25%;5;0.406700;1
trial;quicksort;10000;prefix_25%;6;0.392900;1
trial;quicksort;10000;prefix_25%;7;0.391100;1
trial;quicksort;10000;prefix_25%;8;0.386000;1
trial;quicksort;10000;prefix_25%;9;0.408400;1
trial;quicksort;10000;prefix_25%;10;0.417200;1
trial;quicksort;10000;prefix_25%;11;0.395600;1
trial;quicksort;10000;prefix_25%;12;0.663700;1
trial;quicksort;10000;prefix_25%;13;0.394300;1
trial;quicksort;10000;prefix_25%;14;0.406800;1
trial;quicksort;10000;prefix_25%;15;0.466800;1
trial;quicksort;10000;prefix_25%;16;0.499900;1
trial;quicksort;10000;prefix_25%;17;0.660900;1
trial;quicksort;10000;prefix_25%;18;0.428000;1
trial;quicksort;10000;prefix_25%;19;0.428800;1
trial;quicksort;10000;prefix_25%;20;0.388600;1
trial;quicksort;10000;prefix_25%;21;0.404100;1
trial;quicksort;10000;prefix_25%;22;0.418200;1
trial;quicksort;10000;prefix_25%;23;0.418000;1
trial;quicksort;10000;prefix_25%;24;0.471600;1
trial;quicksort;10000;prefix_25%;25;0.402700;1
trial;quicksort;10000;prefix_25%;26;0.386800;1
trial;quicksort;10000;prefix_25%;27;0.420200;1
trial;quicksort;10000;prefix_25%;28;0.384800;1
trial;quicksort;10000;prefix_25%;29;0.404800;1
trial;quicksort;10000;prefix_25%;30;0.390800;1
trial;quicksort;10000;prefix_25%;31;0.387900;1
trial;quicksort;10000;prefix_25%;32;0.399000;1
trial;quicksort;10000;prefix_25%;33;0.386000;1
trial;quicksort;10000;prefix_25%;34;0.404900;1
trial;quicksort;10000;prefix_25%;35;0.395500;1
trial;quicksort;10000;prefix_25%;36;0.389500;1
trial;quicksort;10000;prefix_25%;37;0.393600;1
trial;quicksort;10000;prefix_25%;38;0.380800;1
trial;quicksort;10000;prefix_25%;39;0.387900;1
trial;quicksort;10000;prefix_25%;40;0.414800;1
trial;quicksort;10000;prefix_25%;41;0.393300;1
trial;quicksort;10000;prefix_25%;42;0.375600;1
trial;quicksort;10000;prefix_25%;43;0.410100;1
trial;quicksort;10000;prefix_25%;44;0.390000;1
trial;quicksort;10000;prefix_25%;45;0.392800;1
trial;quicksort;10000;prefix_25%;46;0.399200;1
trial;quicksort;10000;prefix_25%;47;0.382400;1
trial;quicksort;10000;prefix_25%;48;0.394300;1
trial;quicksort;10000;prefix_25%;49;0.401600;1
trial;quicksort;10000;prefix_25%;50;0.407700;1
trial;quicksort;10000;prefix_25%;51;0.388900;1
trial;quicksort;10000;prefix_25%;52;0.394700;1
trial;quicksort;10000;prefix_25%;53;0.399200;1
trial;quicksort;10000;prefix_25%;54;0.387500;1
trial;quicksort;10000;prefix_25%;55;0.388900;1
trial;quicksort;10000;prefix_25%;56;0.469900;1
trial;quicksort;10000;prefix_25%;57;0.419800;1
trial;quicksort;10000;prefix_25%;58;0.383000;1
trial;quicksort;10000;prefix_25%;59;0.407000;1
trial;quicksort;10000;prefix_25%;60;0.387900;1
trial;quicksort;10000;prefix_25%;61;0.396400;1
trial;quicksort;10000;prefix_25%;62;0.395900;1
trial;quicksort;10000;prefix_25%;63;0.383100;1
trial;quicksort;10000;prefix_25%;64;0.397600;1
trial;quicksort;10000;prefix_25%;65;0.389200;1
trial;quicksort;10000;prefix_25%;66;0.402300;1
trial;quicksort;10000;prefix_25%;67;0.436200;1
trial;quicksort;10000;prefix_25%;68;0.531800;1
trial;quicksort;10000;prefix_25%;69;0.471800;1
trial;quicksort;10000;prefix_25%;70;0.426900;1
trial;quicksort;10000;prefix_25%;71;0.403000;1
trial;quicksort;10000;prefix_25%;72;0.409900;1
trial;quicksort;10000;prefix_25%;73;0.382700;1
trial;quicksort;10000;prefix_25%;74;0.391200;1
trial;quicksort;10000;prefix_25%;75;0.412200;1
trial;quicksort;10000;prefix_25%;76;0.380000;1
trial;quicksort;10000;prefix_25%;77;0.417400;1
trial;quicksort;10000;prefix_25%;78;0.400700;1
trial;quicksort;10000;prefix_25%;79;0.387800;1
trial;quicksort;10000;prefix_25%;80;0.392000;1
trial;quicksort;10000;prefix_25%;81;0.419800;1
trial;quicksort;10000;prefix_25%;82;0.392000;1
trial;quicksort;10000;prefix_25%;83;0.390300;1
trial;quicksort;10000;prefix_25%;84;0.401500;1
trial;quicksort;10000;prefix_25%;85;0.393100;1
trial;quicksort;10000;prefix_25%;86;0.391900;1
trial;quicksort;10000;prefix_25%;87;0.386600;1
trial;quicksort;10000;prefix_25%;88;0.405800;1
trial;quicksort;10000;prefix_25%;89;0.401800;1
trial;quicksort;10000;prefix_25%;90;0.395800;1
trial;quicksort;10000;prefix_25%;91;0.398500;1
trial;quicksort;10000;prefix_25%;92;0.405300;1
trial;quicksort;10000;prefix_25%;93;0.384000;1
trial;quicksort;10000;prefix_25%;94;0.408000;1
trial;quicksort;10000;prefix_25%;95;0.392600;1
trial;quicksort;10000;prefix_25%;96;0.387100;1
trial;quicksort;10000;prefix_25%;97;0.411400;1
trial;quicksort;10000;prefix_25%;98;0.396700;1
trial;quicksort;10000;prefix_25%;99;0.382100;1
average;quicksort;10000;prefix_25%;-1;0.411142;1
trial;quicksort;10000;prefix_50%;0;0.347300;1
trial;quicksort;10000;prefix_50%;1;0.298600;1
trial;quicksort;10000;prefix_50%;2;0.282600;1
